airport_id;airport_name;airport_latitude;airport_longitude;airport_city;airport_country_iso;airport_continent_iso
JTY;Astypalaia Airport;36,5798988342;26,3757991791;Astypalaia Island;GR;EU
PVK;Aktion National Airport;38,92549896240234;20,765300750732425;Preveza/Lefkada;GR;EU
RHO;Diagoras Airport;36,405399322509766;28,086200714111328;Rodes Island;GR;EU
GPA;Patras Araxos Agamemnon Airport;38,1511;21,4256;Patras;GR;EU
CHQ;Chania International Airport;35,531700134277344;24,14970016479492;Souda;GR;EU
JSI;Skiathos Island National Airport;39,17710113525391;23,503700256347656;Skiathos;GR;EU
SMI;Samos Airport;37,68999862670898;26,911699295043945;Samos Island;GR;EU
JSY;Syros Airport;37,4227981567;24,9508991241;Syros Island;GR;EU
SPJ;Sparti Airport;36,973899841308594;22,52630043029785;Sparti;GR;EU
JTR;Santorini Airport;36,399200439453125;25,47929954528809;Santorini Island;GR;EU
JSH;Sitia Airport;35,21609878540039;26,101299285888672;Crete Island;GR;EU
SKU;Skiros Airport;38,9676017761;24,4871997833;Skiros Island;GR;EU
SKG;Thessaloniki Macedonia International Airport;40,51969909667969;22,97089958190918;Thessaloniki;GR;EU
ZTH;"Zakynthos International Airport ""Dionysios Solomos""";37,7509;20,8843;Zakynthos Island;GR;EU
BUD;Budapest Liszt Ferenc International Airport;47,42976;19,261093;Budapest;HU;EU
DEB;Debrecen International Airport;47,488899;21,615299;Debrecen;HU;EU
MCQ;Miskolc Airfield;48,13603;20,789641;Miskolc;HU;EU
PEV;Pécs-Pogány Airport;45,990898;18,240996;Pécs-Pogány;HU;EU
SOB;Hévíz–Balaton Airport;46,686391;17,159084;Sármellék;HU;EU
TZR;Taszár Air Base;46,39310073852539;17,917499542236328;Taszár;HU;EU
QAQ;L'Aquila–Preturo Airport;42,379902;13,3092;L'Aquila;IT;EU
CRV;Crotone Airport;38,9972;17,0802;Crotone;IT;EU
BRI;Bari Karol Wojtyła Airport;41,138901;16,760599;Bari;IT;EU
FOG;"Foggia ""Gino Lisa"" Airport";41,432899;15,535;Foggia;IT;EU
TAR;"Taranto-Grottaglie ""Marcello Arlotta"" Airport";40,517502;17,4032;Grottaglie;IT;EU
LCC;Lecce Galatina Air Base;40,239201;18,133301;;IT;EU
PSR;Abruzzo Airport;42,431702;14,1811;Pescara;IT;EU
BDS;Brindisi Airport;40,6576;17,947001;Brindisi;IT;EU
SUF;Lamezia Terme Airport;38,905399;16,2423;Lamezia Terme (CZ);IT;EU
CIY;Comiso Airport;36,994601;14,607182;Comiso;IT;EU
CTA;Catania-Fontanarossa Airport;37,466801;15,0664;Catania;IT;EU
LMP;Lampedusa Airport;35,497898;12,6181;Lampedusa;IT;EU
PNL;Pantelleria Airport;36,816502;11,9689;Pantelleria (TP);IT;EU
PMO;Falcone–Borsellino Airport;38,175999;13,091;Palermo;IT;EU
REG;Reggio Calabria Airport;38,071201;15,6516;Reggio Calabria;IT;EU
TPS;Vincenzo Florio Airport Trapani-Birgi;37,9114;12,488;Trapani (TP);IT;EU
NSY;Sigonella Navy Air Base;37,401699;14,9224;Sigonella (CT);IT;EU
BLX;Belluno Airport;46,166549;12,250389;Belluno (BL);IT;EU
CDF;Cortina Airport;46,573001861600005;12,1180000305;Cortina D'Ampezzo;IT;EU
RAN;Ravenna Airport;44,36391;12,224978;Ravenna;IT;EU
AHO;Alghero-Fertilia Airport;40,632099;8,29077;Alghero;IT;EU
DCI;Decimomannu Air Base;39,354198;8,97248;Decimomannu;IT;EU
CAG;Cagliari Elmas Airport;39,251499;9,05428;Cagliari;IT;EU
OLB;Olbia Costa Smeralda Airport;40,898701;9,51763;Olbia (SS);IT;EU
FNU;Oristano-Fenosu Airport;39,895308;8,642661;Oristano;IT;EU
TTB;Tortolì Airport;39,9188;9,68298;Arbatax;IT;EU
MXP;Malpensa International Airport;45,6306;8,72811;Milan;IT;EU
BGY;Milan Bergamo Airport;45,673901;9,70417;Milan;IT;EU
TRN;Turin Airport;45,200802;7,64963;Torino;IT;EU
ALL;Villanova D'Albenga International Airport;44,050598;8,12743;Albenga (SV);IT;EU
GOA;Genoa Cristoforo Colombo Airport;44,4133;8,8375;Genova;IT;EU
LIN;Milano Linate Airport;45,445099;9,27674;Milan;IT;EU
PMF;Parma Airport;44,824501;10,2964;Parma;IT;EU
AOT;Aosta Airport;45,738499;7,36872;Aosta;IT;EU
CUF;Cuneo International Airport;44,547001;7,62322;Cuneo;IT;EU
AVB;Aviano Air Base;46,031898;12,596503;Aviano (PN);IT;EU
BZO;Bolzano Airport;46,460201;11,3264;Bolzano;IT;EU
UDN;Udine-Campoformido Air Base;46,0322;13,1868;Udine;IT;EU
BLQ;Bologna Guglielmo Marconi Airport;44,5354;11,2887;Bologna;IT;EU
TSF;Treviso-Sant'Angelo Airport;45,648399;12,1944;Treviso;IT;EU
FRL;Forlì Airport;44,194801;12,0701;Forlì (FC);IT;EU
VBS;Brescia Airport;45,428902;10,3306;Montichiari (BS);IT;EU
TRS;Trieste–Friuli Venezia Giulia Airport;45,827499;13,4722;Trieste;IT;EU
RMI;Federico Fellini International Airport;44,020302;12,6117;Rimini;IT;EU
VIC;Vicenza Airport;45,573399;11,5295;Vicenza;IT;EU
VRN;Verona-Villafranca Valerio Catullo Airport;45,394955;10,887303;Villafranca di Verona;IT;EU
AOI;Marche Airport;43,616299;13,3623;Ancona;IT;EU
