station_id;station_name;station_latitud;station_longitud
73100;La Plana-Picamoixons;41,30597;1,197665
73101;Alcover;41,261658;1,174228
73102;La Selva del Camp;41,210284;1,144072
73010;La Riba;41,318354;1,181248
73009;Vilaverd;41,337602;1,176599
73001;Puigverd de Lleida-Artesa de Lleida;41,55365;0,733058
73004;La Floresta;41,504263;0,924303
72101;Roda de Mar;41,186315;1,4551443
76001;Salomo;41,223474;1,376617
76004;Valls;41,28963;1,258734
76002;Vilabella;41,240312;1,315601
76003;Nulles-Brafim;41,250306;1,297449
79315;Portbou;42,424494;3,157858
79312;Llanca;42,3665949;3,148987
71707;El Prat de Llobregat;41,330762;2,088982
71709;Viladecans;41,309407;2,0277
71706;Gava;41,304209;2,012793
71705;Castelldefels;41,2785372;1,9782562
71701;Sitges;41,237757;1,81694
71604;Cubelles;41,204112;1,671807
71603;Cunit;41,195912;1,631307
71602;Segur de Calafell;41,192544;1,607745
71601;Calafell;41,188736;1,567244
71708;Bellvitge;41,354261;2,115549
71704;Platja de Castelldefels;41,2670124;1,9567717
72100;Roda de Bara;41,184052;1,440153
65411;Port Aventura;41,08707;1,145486
71205;Val de Pilas;41,230056;0,070145
71103;Fuentes de Ebro;41,515065;-0,618625
78302;Binefar;41,849768;0,291478
78301;Monzon-Rio Cinca;41,913679;0,196939
78203;Sarinyena;41,817529;-0,17076
78201;Granyen;41,938033;-0,369329
78005;Villanueva de Gallego;41,76551;-0,822204
72305;Lhospitalet de Llobregat;41,364129;2,100766
78805;Barcelona-Placa de Catalunya;41,386726;2,166458
78804;Barcelona-Arc de Triomf;41,391864;2,180076
78806;Barcelona La Sagrera Meridiana;41,422638;2,187262
78802;Sant Andreu Arenal;41,430893;2,183095
78801;Barcelona-Torre del Baro;41,460945;2,181042
78800;Montcada Bifurcacio;41,468992;2,178904
78708;Montcada I Reixac-Manresa;41,483996;2,185513
78707;Montcada I Reixac-Santa Maria;41,481232;2,166922
78706;Cerdanyola del Valles;41,492582;2,14763
78705;Barbera del Valles;41,507162;2,127558
78703;Sabadell Sud;41,53662;2,105617
78704;Sabadell Centre;41,549572;2,114757
78709;Sabadell Nord;41,562871;2,087794
78710;Terrasa Est;41,567261;2,041561
78700;Terrassa;41,570159;2,019075
78604;Sant Vicenc de Castellet;41,667899;1,863451
78600;Manresa;41,720129;1,82899
78506;Rajadell;41,733159;1,696275
78505;Aguilar de Segarra;41,738917;1,62372
78504;Seguers-Sant Pere Sallavinera;41,747991;1,574167
78503;Calaf;41,730334;1,515097
78502;Sant Marti Sesgueioles;41,701217;1,486204
78501;Sant Guim de Freixenet;41,655924;1,42053
78500;Cervera;41,673611;1,274773
78408;Tarrega;41,650387;1,138963
78407;Anglesola;41,646448;1,079192
78406;Bellpuig;41,632545;1,012993
78405;Castellnou de Seana;41,637464;0,967736
78404;Golmes;41,635929;0,930863
78403;Mollerussa;41,631779;0,896775
78402;Bell-Lloc Durgell;41,631619;0,781547
79004;Barcelona-Sant Andreu Comtal;41,435807;2,193572
79100;Granollers Centre;41,594528;2,29107
79105;Gualba;41,714078;2,533778
79106;Riells I Viabrea-Breda;41,723357;2,560075
79107;Hostalric;41,747657;2,632175
79204;Riudellots;41,896232;2,811599
79205;Fornells de La Selva;41,935157;2,809732
79301;Celra;42,02723;2,874969
79302;Bordils-Juia;42,037068;2,915255
79304;Sant Jordi Desvalls;42,068319;2,964533
79305;Camallera;42,122359;2,965448
79306;Sant Miquel de Fluvia;42,172087;2,989663
